Selected,Pass_Criteria,Filename,Disc#,Grain#,ED,ED_Err,N.Signal,BG.signal,MCarlo_Cycles,Test_Signal,BG.T_Signal,TD_Err,Test_Dose,Test_Signal_Change,Residual_Signal,RR1,RR_Err1,RR2,RR_Err2,RR3,RR_Err3,RR4,RR_Err4,RR5,RR_Err5,Recup1,Recup_Err1,Recup2,Recup_Err2,Recup3,Recup_Err3,Recup4,Recup_Err4,Recup5,Recup_Err5,Sig1,Sig2,BG1,BG2,Ln/Tn,Ln/Tn_err,Fit,Options,R_Chi_Sq,Param1,Error1,Param2,Error2,Param3,Error3,Param4,Error4,Param5,Error5,Param6,Error6,Param7,Error7,Dose_Rate,DR_Error,ED_in_Gy,ROI X1,ROI Y1,ROI X2,ROI Y2,UseLxTx01,Dose01,LSig01,LBG01,TSig01,TBG01,LxTx01,Unc01,UseLxTx02,Dose02,LSig02,LBG02,TSig02,TBG02,LxTx02,Unc02,UseLxTx03,Dose03,LSig03,LBG03,TSig03,TBG03,LxTx03,Unc03,UseLxTx04,Dose04,LSig04,LBG04,TSig04,TBG04,LxTx04,Unc04,UseLxTx05,Dose05,LSig05,LBG05,TSig05,TBG05,LxTx05,Unc05,UseLxTx06,Dose06,LSig06,LBG06,TSig06,TBG06,LxTx06,Unc06,UseLxTx07,Dose07,LSig07,LBG07,TSig07,TBG07,LxTx07,Unc07,UseLxTx08,Dose08,LSig08,LBG08,TSig08,TBG08,LxTx08,Unc08,UseLxTx09,Dose09,LSig09,LBG09,TSig09,TBG09,LxTx09,Unc09,UseLxTx10,Dose10,LSig10,LBG10,TSig10,TBG10,LxTx10,Unc10,UseLxTx11,Dose11,LSig11,LBG11,TSig11,TBG11,LxTx11,Unc11,UseLxTx12,Dose12,LSig12,LBG12,TSig12,TBG12,LxTx12,Unc12,UseLxTx13,Dose13,LSig13,LBG13,TSig13,TBG13,LxTx13,Unc13,UseLxTx14,Dose14,LSig14,LBG14,TSig14,TBG14,LxTx14,Unc14,UseLxTx15,Dose15,LSig15,LBG15,TSig15,TBG15,LxTx15,Unc15
TRUE,TRUE,SG-J1505-19-34-38-SuK-AD-225-BG.binx,13,1,45.12362289,19.88111496,554,255.8000031,0,421,110.3000031,7.223629951,50,2.232779026,345,0.862736166,0.079460852,0.953562498,0.090227403,0.869015515,0.080928154,1.105277061,0.090890512,0,0,26.76809502,4.688189983,-1,-1,-1,-1,-1,-1,-1,-1,5,16,40,55,0.959768236,0.11698018,4,18,2.142889023,20.09853554,0.994435966,1252.800903,100.9645081,16.21034813,2.208493471,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,TRUE,500,3694,362.25,592,156,7.641513824,0.55824697,TRUE,1000,8928,642,979,237.75,11.1791687,0.660773695,TRUE,2000,21476,1428,1743,364.5,14.5433445,0.707590342,TRUE,4000,47546,2587.5,2802,614.25,20.55057907,0.908930779,TRUE,0,345,154.5,905,163.5,0.256911665,0.032312404,TRUE,500,5952,492,1015,186.75,6.592610359,0.369777799,TRUE,500,5614,446.25,920,210.75,7.286661148,0.438185096,TRUE,500,5500,448.5,940,179.25,6.640594006,0.383521646,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN
TRUE,TRUE,SG-J1505-19-34-38-SuK-AD-225-BG.binx,13,2,29.55026054,15.35226631,594,303.7999878,0,623,162,5.91876936,50,3.292134762,632,1.040017962,0.07865794,0.981201053,0.073458321,1.040066004,0.078477085,0.943446219,0.064441234,0,0,26.70453262,4.91532135,-1,-1,-1,-1,-1,-1,-1,-1,5,16,40,55,0.629501104,0.075833365,4,18,1.625959635,16.53773499,0.728218079,1034.807007,74.37988281,10.62590313,1.560001493,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,TRUE,500,6009,589.5,1110,270,6.451785564,0.372294426,TRUE,1000,14475,1309.5,1796,481.5,10.01559544,0.509475768,TRUE,2000,28342,2522.25,2763,776.25,12.99627495,0.601615548,TRUE,4000,47272,4031.25,3662,1182,17.43576622,0.782950342,TRUE,0,632,398.25,1784,393.75,0.168105319,0.023394588,TRUE,500,11402,1067.25,2051,510.75,6.709972858,0.328057677,TRUE,500,11386,1038.75,2092,457.5,6.330498695,0.301953048,TRUE,500,11519,1077.75,2051,495,6.710282803,0.326228499,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN
TRUE,TRUE,SG-J1505-19-34-38-SuK-AD-225-BG.binx,13,3,349.0579529,32.54444885,3500,474,0,809,182.3000031,4.907075405,50,1.184177995,306,0.935276866,0.080645181,0.960799396,0.08394739,0.901248276,0.076665513,1.027288675,0.086783275,0,0,5.651762486,0.859682798,-1,-1,-1,-1,-1,-1,-1,-1,5,16,40,55,4.828466415,0.308379829,4,18,0.996042013,17.33414459,0.920042396,1124.471802,95.90543365,17.88414574,2.682369232,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,TRUE,500,4738,489.75,811,186,6.797120094,0.428065807,TRUE,1000,8616,852,966,243,10.73858929,0.644331396,TRUE,2000,14817,1602,1335,346.5,13.36874008,0.729046941,TRUE,4000,24697,2615.25,1810,558.75,17.64841652,0.921876252,TRUE,0,306,141.75,778,176.25,0.272893459,0.037673224,TRUE,500,5454,568.5,995,226.5,6.357189178,0.374413848,TRUE,500,5320,582,961,235.5,6.530668736,0.395511419,TRUE,500,5342,539.25,958,174,6.125892639,0.350304782,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN
TRUE,TRUE,SG-J1505-19-34-38-SuK-AD-225-BG.binx,13,4,380.808136,103.0676575,864,312.7999878,0,237,120,15.45567608,50,1.210970521,118,1.281405687,0.254245162,0.873371959,0.156517357,1.362822056,0.311155915,0.681573331,0.127695888,0,0,4.364309311,2.673239708,-1,-1,-1,-1,-1,-1,-1,-1,5,16,40,55,4.711111069,0.798859596,4,18,2.187052488,21.23847389,3.550384521,1581.977051,385.7302856,15.92189503,9.517876625,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,TRUE,500,1241,306.75,279,123,5.988461494,0.807683587,TRUE,1000,2466,601.5,353,184.5,11.06528187,1.541048288,TRUE,2000,4382,1119,499,246.75,12.93814468,1.446288943,TRUE,4000,7947,1937.25,663,410.25,23.78195381,3.074385881,TRUE,0,118,93.75,237,119.25,0.205607459,0.121017173,TRUE,500,1537,401.25,295,147,7.673648834,1.116672158,TRUE,500,1368,386.25,301,113.25,5.230154514,0.617192924,TRUE,500,1342,395.25,287,171,8.161207199,1.5034796,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN
TRUE,TRUE,SG-J1505-19-34-38-SuK-AD-225-BG.binx,13,9,413.6255493,68.75283813,1160,338.2999878,0,282,117,11.65386963,50,1.425531864,160,0.786697567,0.122344248,0.910213053,0.147227004,0.768410981,0.120587997,1.157005072,0.16278328,0,0,5.170253754,1.894112825,-1,-1,-1,-1,-1,-1,-1,-1,5,16,40,55,4.980000019,0.647880256,4,18,0.904423833,19.90692902,1.647768497,1504.665039,198.6310272,19.51199913,7.116271973,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,TRUE,500,1547,324.75,304,127.5,6.924645901,0.855882764,TRUE,1000,3135,637.5,380,147,10.71888447,1.117010236,TRUE,2000,7451,1253.25,703,267.75,14.24103832,1.125010371,TRUE,4000,14828,2133.75,1093,412.5,18.6542244,1.234609842,TRUE,0,160,111.75,302,114.75,0.257478625,0.088178776,TRUE,500,1946,412.5,424,142.5,5.447602272,0.51417011,TRUE,500,1913,414.75,381,143.25,6.302903175,0.657626987,TRUE,500,1810,389.25,402,135,5.320973873,0.514533103,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN
TRUE,TRUE,SG-J1505-19-34-38-SuK-AD-225-BG.binx,13,10,371.8718262,35.6605072,4053,310.5,0,865,129.8000031,4.219500542,50,0.989595354,568,0.940537035,0.079633228,0.891713142,0.075621665,0.948335648,0.080838189,0.948089361,0.078345135,0,0,14.71096706,1.473685145,-1,-1,-1,-1,-1,-1,-1,-1,5,16,40,55,5.090451717,0.29403317,4,18,1.342414856,13.99490547,0.572426975,936.4064331,73.68780518,51.53892136,5.356131077,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,TRUE,500,4478,391.5,753,134.25,6.604978085,0.405332953,TRUE,1000,8847,684,993,189,10.15298462,0.569465339,TRUE,2000,18359,1410,1743,276,11.55351067,0.54481709,TRUE,4000,35641,2632.5,2779,477,14.33905315,0.621139586,TRUE,0,568,110.25,762,150.75,0.748854697,0.061290938,TRUE,500,5141,486.75,930,180.75,6.212226391,0.362372279,TRUE,500,4821,467.25,911,171.75,5.889745712,0.344732225,TRUE,500,4848,459,856,155.25,6.263736248,0.370579302,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN
TRUE,TRUE,SG-J1505-19-34-38-SuK-AD-225-BG.binx,13,18,169.8462372,58.78691101,512,284.2999878,0,221,118.5,17.17391777,50,2.054298639,183,0.697741628,0.17721121,0.79534477,0.213394687,0.558608711,0.139935195,1.139884353,0.231638223,0,0,9.667234421,6.928155422,-1,-1,-1,-1,-1,-1,-1,-1,5,16,40,55,2.221463442,0.46983853,4,18,1.357445478,12.88135338,1.345272303,987.0470581,186.9048462,16.98599052,11.97329426,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,TRUE,500,1097,336,261,167.25,8.121665001,1.771912098,TRUE,1000,2266,741.75,422,234.75,8.142094612,1.13791573,TRUE,2000,4785,1461.75,712,393.75,10.44374561,1.131186724,TRUE,4000,7592,2500.5,1006,627.75,13.46245289,1.471063852,TRUE,0,183,156.75,305,183,0.214754075,0.147051632,TRUE,500,1729,526.5,456,243.75,5.666823864,0.736825705,TRUE,500,1641,555.75,417,249,6.459523678,1.008777738,TRUE,500,1501,472.5,454,227.25,4.536832809,0.55850929,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN
TRUE,TRUE,SG-J1505-19-34-38-SuK-AD-225-BG.binx,13,20,290.7973938,17.48628235,9989,432.7999878,0,2409,177,2.258771181,50,1.92818594,1825,0.962833583,0.055295538,0.959308326,0.055110741,0.966263413,0.055657718,0.996338665,0.055667896,0,0,8.57886982,0.579931855,-1,-1,-1,-1,-1,-1,-1,-1,5,16,40,55,4.281451702,0.18530044,4,18,0.482492656,17.28003693,0.641387522,1105.153564,65.69369507,23.77314758,1.481202483,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,TRUE,500,19060,642,2982,264.75,6.778301239,0.282615066,TRUE,1000,40341,1298.25,4296,449.25,10.14966106,0.404741645,TRUE,2000,85479,2742,6644,771.75,14.08960819,0.540617049,TRUE,4000,172368,5322,11040,1363.5,17.26305962,0.642488956,TRUE,0,1825,447,4093,341.25,0.367300153,0.019073533,TRUE,500,29512,1119,4808,457.5,6.526376247,0.257755399,TRUE,500,29105,1059.75,4760,447,6.502480984,0.256985724,TRUE,500,28241,1026,4645,489.75,6.549624443,0.260299236,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN
TRUE,TRUE,SG-J1505-19-34-38-SuK-AD-225-BG.binx,13,21,1006.402771,294.0726929,1312,261,0,202,98.30000305,16.01250648,50,0.990099013,85,1.466204524,0.511590898,1.668056607,0.630292714,0.911881089,0.268640131,1.137669802,0.500342429,0,0,4.286829948,2.453631639,-1,-1,-1,-1,-1,-1,-1,-1,5,16,40,55,10.135005,1.703616023,4,18,0.652872503,17.97457695,3.162061214,1249.19458,370.825531,30.18930626,18.52453423,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,TRUE,500,871,294,215,116.25,5.845998287,1.102282405,TRUE,1000,1491,506.25,255,157.5,10.0994873,2.080342531,TRUE,2000,2890,976.5,329,213.75,16.61024284,3.28500247,TRUE,4000,4448,1652.25,463,294,16.54260254,2.662736416,TRUE,0,85,60.75,157,101.25,0.434470415,0.237710029,TRUE,500,861,345,193,132.75,8.571429253,2.51647234,TRUE,500,851,348.75,176,124.5,9.751456261,3.193154573,TRUE,500,770,339.75,200,119.25,5.33085537,1.206668019,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN
TRUE,TRUE,SG-J1505-19-34-38-SuK-AD-225-BG.binx,13,22,152.4481812,19.5887146,1734,376.5,0,682,163.5,5.47076416,50,2.32404685,244,0.800460398,0.06562151,0.859395742,0.071585365,0.821115494,0.067515314,1.073626757,0.080253139,0,0,1.693724275,0.699105144,-1,-1,-1,-1,-1,-1,-1,-1,5,16,40,55,2.618129253,0.191268876,4,18,1.866216898,29.13845062,1.913878202,1645.902344,148.5400848,2.509048939,1.027810097,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,TRUE,500,6708,585.75,963,288.75,9.080688477,0.57687819,TRUE,1000,13813,1249.5,1510,514.5,12.62029171,0.72018671,TRUE,2000,30366,2684.25,2129,847.5,21.60101509,1.178334951,TRUE,4000,47353,4397.25,2968,1328.25,26.19729233,1.37427175,TRUE,0,244,195,1345,240,0.044343892,0.018014506,TRUE,500,9785,937.5,1623,405.75,7.268731594,0.376634181,TRUE,500,9384,911.25,1484,398.25,7.80390501,0.420444012,TRUE,500,9729,891.75,1585,399.75,7.45629406,0.389227092,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FALSE,NAN,NAN,NAN,NAN,NAN,NAN,NAN
